time,reference,position,measured_distance,error,velocity_control
10.3,-50,27.782,-38,-12,0,
10.32,-50,27.457,-39,-11,0,
10.34,-50,26.798,-40,-10,0,
10.36,-50,26.578,-40,-10,0,
10.38,-50,26.404,-40,-10,0,
10.4,-50,26.187,-36,-14,0,
10.42,-50,26.119,-37,-13,0,
10.44,-50,26.095,-39,-11,0,
10.46,-50,26.083,-38,-12,0,
10.48,-50,26.082,-39,-11,0,
10.5,-50,26.082,-37,-13,0,
10.52,-50,26.082,-36,-14,0,
10.54,-50,26.082,-34,-16,0,
10.56,-50,26.082,-34,-16,0,
10.58,-50,26.082,-34,-16,0,
10.6,-50,26.082,-34,-16,0,
10.62,-50,26.082,-34,-16,0,
10.64,-50,26.082,-32,-18,0,
10.66,-50,26.082,-34,-16,0,
10.68,-50,26.082,-34,-16,0,
10.7,-50,26.082,-33,-17,0,
10.72,-50,26.082,-33,-17,0,
10.74,-50,26.082,-35,-15,0,
10.76,-50,26.082,-33,-17,0,
10.78,-50,26.082,-34,-16,0,
10.8,-50,26.082,-35,-15,0,
10.82,-50,26.082,-34,-16,0,
10.84,-50,26.082,-34,-16,0,
10.86,-50,26.082,-33,-17,0,
10.88,-50,26.082,-34,-16,0,
10.9,-50,26.082,-35,-15,0,
10.92,-50,26.082,-31,-19,0,
10.94,-50,26.082,-33,-17,0,
10.96,-50,26.082,-32,-18,0,
10.98,-50,26.082,-35,-15,0,
11,-50,26.082,-34,-16,0,
11.02,-50,26.082,-35,-15,0,
11.04,-50,26.082,-35,-15,0,
11.06,-50,26.082,-35,-15,0,
11.08,-50,26.082,-34,-16,0,
11.1,-50,26.082,-33,-17,0,
11.12,-50,26.082,-32,-18,0,
11.14,-50,26.082,-35,-15,0,
11.16,-50,26.082,-35,-15,0,
11.18,-50,26.082,-34,-16,0,
11.2,-50,26.082,-33,-17,0,
11.22,-50,26.082,-33,-17,0,
11.24,-50,26.082,-32,-18,0,
11.26,-50,26.082,-35,-15,0,
11.28,-50,26.082,-34,-16,0,
11.3,-50,26.082,-33,-17,0,
11.32,-50,26.082,-35,-15,0,
11.34,-50,26.082,-33,-17,0,
11.36,-50,26.082,-36,-14,0,
11.38,-50,26.082,-35,-15,0,
11.4,-50,26.082,-37,-13,0,
11.42,-50,26.082,-37,-13,0,
11.44,-50,26.082,-39,-11,0,
11.46,-50,26.082,-40,-10,0,
11.48,-50,26.082,-44,-6,0,
11.5,-50,26.082,-47,-3,0,
11.52,-50,26.082,-49,-1,1.0067,
11.54,-50,26.082,-54,4,10.746,
11.56,-50,26.082,-53,3,12.227,
11.58,-50,26.083,-58,8,19.967,
11.6,-50,26.094,-59,9,23.849,
11.62,-50,26.11,-64,14,32.586,
11.64,-50,26.189,-66,16,38.434,
11.66,-50,26.264,-68,18,42.969,
11.68,-50,26.576,-70,20,46.971,
11.7,-50,26.782,-72,22,50.805,
11.72,-50,27.341,-75,25,56.262,
11.74,-50,27.831,-76,26,59.159,
11.76,-50,28.745,-79,29,64.271,
11.78,-50,29.28,-81,31,68.725,
11.8,-50,30.718,-84,34,74.527,
11.82,-50,31.409,-86,36,79.248,
11.84,-50,32.917,-85,35,78.589,
11.86,-50,33.733,-88,38,82.301,
11.88,-50,35.793,-86,36,79.82,
11.9,-50,36.746,-88,38,81.378,
11.92,-50,38.774,-91,41,86.437,
11.94,-50,40.212,-92,42,89.676,
11.96,-50,42.478,-92,42,90.441,
11.98,-50,43.65,-93,43,91.826,
12,-50,46.457,-94,44,93.545,
12.02,-50,47.687,-95,45,95.441,
12.04,-50,50.195,-96,46,97.43,
12.06,-50,51.476,-98,48,101.1,
12.08,-50,54.54,-100,50,105.45,
12.1,-50,55.886,-101,51,108.38,
12.12,-50,58.633,-101,51,109.03,
12.14,-50,60.506,-99,49,105.49,
12.16,-50,63.381,-100,50,105.24,
12.18,-50,64.853,-103,53,109.82,
12.2,-50,68.382,-102,52,109.86,
12.22,-50,69.932,-104,54,112.83,
12.24,-50,73.085,-104,54,113.78,
12.26,-50,74.681,-104,54,113.85,
12.28,-50,78.434,-105,55,115.22,
12.3,-50,80.055,-104,54,113.91,
12.32,-50,83.325,-102,52,109.88,
12.34,-50,85.53,-105,55,113.01,
12.36,-50,88.878,-104,54,112.69,
12.38,-50,90.567,-103,53,110.84,
12.4,-50,94.528,-102,52,108.41,
12.42,-50,96.229,-102,52,107.45,
12.44,-50,99.623,-101,51,105.55,
12.46,-50,101.31,-102,52,106.55,
12.48,-50,105.24,-95,45,95.693,
12.5,-50,106.91,-97,47,94.684,
12.52,-50,110.22,-96,46,93.146,
12.54,-50,112.41,-97,47,94.597,
12.56,-50,115.64,-95,45,92.324,
12.58,-50,117.22,-96,46,93.311,
12.6,-50,120.83,-97,47,95.645,
12.62,-50,122.34,-95,45,93.523,
12.64,-50,125.27,-91,41,86.204,
12.66,-50,126.71,-94,44,88.292,
12.68,-50,130.02,-93,43,87.895,
12.7,-50,131.43,-96,46,92.868,
12.72,-50,134.23,-92,42,88.541,
