time,reference,position,measured_distance,error,velocity_control
8.14,-50,109.17,-33,0,0,
8.16,-50,108.37,-36,0,0,
8.18,-50,107.64,-37,0,0,
8.2,-50,106.13,-36,0,0,
8.22,-50,105.56,-40,0,0,
8.24,-50,105.02,-40,0,0,
8.26,-50,104.04,-39,0,0,
8.28,-50,103.44,-42,0,0,
8.3,-50,103.01,-42,0,0,
8.32,-50,102.22,-41,0,0,
8.34,-50,101.84,-43,0,0,
8.36,-50,101.38,-44,0,0,
8.38,-50,100.75,-45,0,0,
8.4,-50,100.46,-43,0,0,
8.42,-50,100.19,-42,0,0,
8.44,-50,99.607,-43,0,0,
8.46,-50,99.381,-43,0,0,
8.48,-50,99.165,-46,0,0,
8.5,-50,98.694,-46,0,0,
8.52,-50,98.502,-46,0,0,
8.54,-50,98.312,-46,0,0,
8.56,-50,97.932,-46,0,0,
8.58,-50,97.681,-45,0,0,
8.6,-50,97.497,-47,0,0,
8.62,-50,97.154,-47,0,0,
8.64,-50,96.999,-46,0,0,
8.66,-50,96.81,-47,0,0,
8.68,-50,96.559,-47,0,0,
8.7,-50,96.444,-50,0,0,
8.72,-50,96.189,-49,0,0,
8.74,-50,96.084,-48,0,0,
8.76,-50,95.883,-50,0,0,
8.78,-50,95.79,-52,0,0,
8.8,-50,95.605,-55,0,0,
8.82,-50,95.542,-62,0,0,
8.84,-50,95.45,-69,0,0,
8.86,-50,95.417,-81,0,0,
8.88,-50,95.427,-94,0,0,
8.9,-50,95.475,-107,0,0,
8.92,-50,95.785,-119,0,0,
8.94,-50,96.049,-130,0,0,
8.96,-50,96.941,-132,0,0,
8.98,-50,97.622,-138,0,0,
9,-50,99.994,-140,0,0,
9.02,-50,101.39,-142,0,0,
9.04,-50,104.92,-139,0,0,
9.06,-50,107.79,-137,0,0,
9.08,-50,112.76,-136,0,0,
9.1,-50,115.48,-128,0,0,
9.12,-50,122.24,-124,0,0,
9.14,-50,125.23,-117,0,0,
9.16,-50,131.23,-119,0,0,
9.18,-50,134.19,-111,0,0,
9.2,-50,140.86,-107,0,0,
9.22,-50,143.58,-102,0,0,
9.24,-50,148.72,-97,0,0,
9.26,-50,151.89,-93,0,0,
9.28,-50,156.29,-89,0,0,
9.3,-50,158.33,-86,0,0,
9.32,-50,162.69,-83,0,0,
9.34,-50,164.39,-81,0,0,
9.36,-50,167.51,-78,0,0,
9.38,-50,168.93,-78,0,0,
9.4,-50,171.91,-75,0,0,
9.42,-50,173.05,-72,0,0,
9.44,-50,175.14,-69,0,0,
9.46,-50,176.41,-70,0,0,
9.48,-50,178.15,-66,0,0,
9.5,-50,178.96,-66,0,0,
9.52,-50,180.7,-66,0,0,
9.54,-50,181.38,-63,0,0,
9.56,-50,182.65,-63,0,0,
9.58,-50,183.23,-61,0,0,
9.6,-50,184.46,-60,0,0,
9.62,-50,184.95,-59,0,0,
9.64,-50,185.84,-63,0,0,
9.66,-50,186.39,-61,0,0,
9.68,-50,187.14,-58,0,0,
9.7,-50,187.49,-58,0,0,
9.72,-50,188.24,-56,0,0,
9.74,-50,188.55,-56,0,0,
9.76,-50,189.13,-55,0,0,
9.78,-50,189.42,-54,0,0,
9.8,-50,190.07,-56,0,0,
9.82,-50,190.33,-56,0,0,
9.84,-50,190.8,-54,0,0,
9.86,-50,191.07,-54,0,0,
9.88,-50,191.41,-49,0,0,
9.9,-50,191.56,-54,0,0,
9.92,-50,191.88,-54,0,0,
9.94,-50,192.02,-52,0,0,
9.96,-50,192.27,-53,0,0,
9.98,-50,192.38,-52,0,0,
10,-50,192.62,-51,0,0,
10.02,-50,192.71,-51,0,0,
10.04,-50,192.86,-51,0,0,
10.06,-50,192.95,-52,0,0,
10.08,-50,193.08,-50,0,0,
10.1,-50,193.15,-53,0,0,
10.12,-50,193.27,-51,0,0,
10.14,-50,193.32,-50,0,0,
10.16,-50,193.39,-53,0,0,
10.18,-50,193.43,-50,0,0,
10.2,-50,193.51,-49,0,0,
10.22,-50,193.54,-46,0,0,
10.24,-50,193.58,-47,0,0,
10.26,-50,193.67,-45,0,0,
10.28,-50,193.7,-42,0,0,
10.3,-50,193.73,-43,0,0,
10.32,-50,193.74,-39,0,0,
10.34,-50,193.72,-39,0,0,
10.36,-50,193.67,-37,0,0,
10.38,-50,193.49,-36,0,0,
10.4,-50,193.36,-33,0,0,
10.42,-50,193.12,-32,0,0,
10.44,-50,192.65,-30,0,0,
10.46,-50,192.36,-27,0,0,
10.48,-50,192.03,-25,0,0,
10.5,-50,191.13,-25,0,0,
10.52,-50,190.67,-23,0,0,
10.54,-50,190.18,-23,0,0,
10.56,-50,188.88,-20,0,0,
10.58,-50,188.24,-20,0,0,
10.6,-50,187.57,-20,0,0,
10.62,-50,186.1,-18,0,0,
10.64,-50,185.03,-20,0,0,
10.66,-50,184.2,-17,0,0,
10.68,-50,182.45,-16,0,0,
10.7,-50,181.53,-15,0,0,
10.72,-50,180.29,-14,0,0,
